visible,title,submitterid,date,imdbid,bechdel_rating,year,dubious,id,description,status,version
1,"Shawshank Redemption, The",1,2009-06-13 14:43:18,0111161,0,1994,,339,,,
1,"Godfather, The",3113,2011-04-23 18:52:32,0068646,2,1972,0,2224,,,
1,"Godfather: Part II, The",6585,2013-02-14 11:01:57,0071562,2,1974,0,3896,,,
1,"Dark Knight, The",1,2008-07-23 00:00:00,0468569,3,2008,1,66,,,
1,12 Angry Men,17,2009-03-24 15:18:12,0050083,0,1957,,302,,,
1,Schindler&#39;s List,1761,2010-08-23 23:37:44,0108052,3,1993,0,1497,,,
1,"Lord of the Rings: The Return of the King, The",6,2009-01-02 22:13:37,0167260,1,2003,,248,,,
1,Pulp Fiction,1,2008-07-29 17:23:28,0110912,3,1994,,91,,,
1,"Good, the Bad and the Ugly, The",2171,2010-11-02 05:35:40,0060196,0,1966,0,1725,,,
1,"Lord of the Rings: The Fellowship of the Ring, The",6,2009-01-02 22:03:45,0120737,1,2001,,246,,,
1,Fight Club,17,2008-10-25 14:19:28,0137523,1,1999,,210,,,
1,Forrest Gump,577,2010-05-03 14:20:32,0109830,1,1994,0,776,,,
1,Inception,1228,2010-07-13 15:21:23,1375666,3,2010,1,1169,,,
1,"Lord of the Rings: The Two Towers, The",6,2009-01-02 22:10:41,0167261,3,2002,,247,,,
1,Star Wars: Episode V - The Empire Strikes Back,421,2010-01-26 22:29:43,0080684,0,1980,0,670,,,
1,"Matrix, The",1,2008-07-20 00:00:00,0133093,3,1999,0,36,,,
1,Goodfellas,3100,2011-04-23 18:22:33,0099685,3,1990,1,2211,,,
1,One Flew Over the Cuckoo&#39;s Nest,1437,2010-07-25 18:55:11,0073486,2,1975,1,1321,,,
1,Shichinin no samurai,5912,2012-10-16 02:18:09,0047478,0,1954,0,3600,,,
1,Se7en,1,2008-07-24 00:00:00,0114369,1,1995,0,69,,,
1,La vita &egrave; bella,344,2009-12-28 04:16:39,0118799,0,1997,0,614,,,
1,City of God,2724,2011-02-15 12:38:33,0317248,1,2002,0,2038,,,
1,"Silence of the Lambs, The",1,2008-07-19 00:00:00,0102926,3,1991,0,32,,,
1,It&#39;s a Wonderful Life,3124,2011-04-23 20:14:50,0038650,3,1946,1,2235,,,
1,Star Wars,420,2010-01-26 22:26:54,0076759,1,1977,0,669,,,
1,Saving Private Ryan,1136,2010-07-04 22:58:24,0120815,0,1998,0,1090,,,
1,Spirited Away,743,2010-05-28 06:02:51,0245429,3,2001,0,864,,,
1,"Green Mile, The",6166,2012-12-06 01:38:27,0120689,1,1999,0,3714,,,
1,Gisaengchung,17199,2019-06-21 10:33:22,6751668,3,2019,1,8768,,,
1,Interstellar,11170,2014-11-05 08:20:49,0816692,3,2014,0,5902,,,
1,"Professional, The",2226,2010-11-14 23:23:19,0110413,3,1994,0,1755,,,
1,"Usual Suspects, The",1,2008-07-20 00:00:00,0114814,1,1995,0,54,,,
,,,,,,,,,Could not find movie,404,v1
1,"Lion King, The",1,2008-07-30 01:03:58,0110357,1,1994,,100,,,
1,Back to the Future,1,2008-08-09 10:58:44,0088763,2,1985,,149,,,
1,"Pianist, The",10307,2014-06-06 03:27:28,0253474,1,2002,0,5539,,,
1,Terminator 2: Judgement Day,715,2010-05-27 20:28:27,0103064,3,1991,1,847,,,
1,American History X,3792,2011-07-18 07:16:21,0120586,2,1998,0,2548,,,
1,Modern Times,1440,2010-07-26 02:04:38,0027977,0,1936,0,1323,,,
1,Psycho,2725,2011-02-15 12:53:30,0054215,1,1960,0,2039,,,
1,Gladiator,1221,2010-07-11 07:33:45,0172495,0,2000,0,1163,,,
,,,,,,,,,Movie not yet approved,403,v1
1,City Lights,4074,2011-09-23 17:50:12,0021749,3,1931,0,2705,,,
1,"Departed, The",1584,2010-08-01 13:05:11,0407887,1,2006,0,1415,,,
1,Untouchable,4471,2011-12-10 23:24:52,1675434,1,2011,0,2919,,,
1,Whiplash,11003,2014-10-08 16:30:06,2582802,1,2014,0,5818,,,
1,"Prestige, The",2722,2011-02-15 12:14:40,0482571,1,2006,0,2036,,,
